S1,S2,Distancia_Dinamico,Tiempo_Dinamico,Distancia_Bruteforce,Tiempo_Bruteforce
,,0,3602,0,0
,n,1,1,1,0
r,gk,2,2198,2,0
yj,yth,2,2,2,1
yrq,ttjh,4,3,4,3
havd,zubni,5,3,5,16
xlqbz,shwscm,6,3,6,96
tlxuum,zzvovyh,7,6,7,560
uskfdfe,xiriqyff,7,5,7,2492
pzyjpkno,ifltqrgoo,8,7,8,14820
wdjwtmhlo,ztbhgwzxky,10,13,10,76794
jjlblmsoxh,nckhbwiftrk,10,10,10,410509
bgmfihsnpju,lrfyctsymivi,11,10,11,2486032
ikwnrgemffrq,rgbjxlgajwsxj,12,12,12,12864547
ojhfqyejocbbh,cnghwadqblbqrg,13,12,13,69439646
khpeiampwntnwy,qrgzvycxbdopkkn,15,13,15,391382688
